STCOFIPS,fips-int,CountyName,State,totalfertN-kg-1987,totalfertN-kg-1992,totalfertN-kg-1997,totalfertN-kg-2002,totalfertN-kg-2007,totalfertN-kg-2012,totalfertN-kg-2017,totalfertP-kg-1987,totalfertP-kg-1992,totalfertP-kg-1997,totalfertP-kg-2002,totalfertP-kg-2007,totalfertP-kg-2012,totalfertP-kg-2017
39129,39129,Pickaway,OH,6788164,8008292,7163364,8997408,7789549,6116832,9792800,1399502,1473265,1397551,1651144,1533121,1140743,1786238
39131,39131,Pike,OH,1227235,925421,566225,971859,824935,1260588,1781525,253746,170614,111311,178332,160977,235144,320066
39133,39133,Portage,OH,2059926,1515831,1228635,2590903,1728790,1178607,1708450,435900,283384,248395,475288,324910,220720,280174
39135,39135,Preble,OH,6637655,5877778,5617619,7231241,6557487,6254227,6704652,1368142,1081399,1095995,1327029,1290989,1166290,1267590
39137,39137,Putnam,OH,7427090,7607415,7449258,10257429,8469018,7807786,9362939,1529986,1399122,1452281,1882399,1669015,1455909,1722082
39139,39139,Richland,OH,4139620,3889056,2827424,4070161,3335380,3545329,3406398,862505,718893,558201,746799,646061,661712,616221
39141,39141,Ross,OH,4247727,4296041,4116322,6413230,4104981,3847874,4789086,878235,791392,805024,1176879,804294,717783,844209
39143,39143,Sandusky,OH,6764140,6182781,5997294,7823698,5805127,5421096,6137441,1396177,1138199,1171200,1435731,1140573,1011062,1080423
39145,39145,Scioto,OH,947515,804280,1400935,1814239,939674,758694,1061897,200625,149923,276690,332872,179303,141816,185115
39147,39147,Seneca,OH,8698197,7388166,7666980,9461175,7943302,8308132,9106285,1793586,1359532,1495980,1736248,1563357,1549307,1612568
39149,39149,Shelby,OH,5793016,5340073,5107190,6410976,5467515,5164740,6316474,1194753,982733,996894,1176488,1075203,963196,1164827
39151,39151,Stark,OH,3539778,2635505,2299005,4181221,3161116,2449306,2911280,769013,499909,476801,766740,576039,459446,520692
39153,39153,Summit,OH,611609,569737,367441,1243869,1373924,595803,1106114,194729,131294,122396,227225,186231,116000,183988
39155,39155,Trumbull,OH,2029162,2121385,1866692,2760681,2529866,2194685,2282769,439060,397973,378255,506348,476938,410452,394132
39157,39157,Tuscarawas,OH,2492179,1696754,2102187,1867962,1808819,1515249,1705240,518743,314199,413935,342712,349224,282971,306404
39159,39159,Union,OH,5704644,4443903,4704404,6627552,5928203,5655415,6490884,1175486,817608,917903,1216239,1166124,1054700,1212214
39161,39161,Van Wert,OH,7046846,5861137,6664471,9259224,6849375,6049558,8703118,1451628,1078044,1299260,1699215,1349762,1128063,1600946
39163,39163,Vinton,OH,202999,246023,171788,293043,170263,201118,267431,42256,45410,33833,53770,32898,37539,52460
39165,39165,Warren,OH,3089554,2804133,2371021,3149251,2527817,2457083,2697251,644821,519363,470645,577706,474725,459643,463625
39167,39167,Washington,OH,1294236,1031524,1258521,1348530,997860,967897,1625991,270307,191100,247933,247425,192453,180723,301810
39169,39169,Wayne,OH,6725213,5247852,5121203,5863583,4989477,5158077,6094260,1391218,967624,1003350,1075952,974382,962337,1023101
39171,39171,Williams,OH,5226786,4165298,4116964,5918283,4670831,4631831,6359560,1077649,766522,803538,1086080,919040,863768,1112669
39173,39173,Wood,OH,8098288,8286286,8741578,9936194,8224762,7300782,8222266,1674652,1526414,1708941,1823342,1611899,1361919,1479971
39175,39175,Wyandot,OH,4910336,5591576,5752559,6564139,6056413,5308284,6506011,1011480,1028280,1121269,1204623,1193805,989821,1234058
40001,40001,Adair,OK,1399790,1922582,1952077,1182492,1483371,1240560,1329616,212510,187891,210117,164762,150357,103348,156947
40003,40003,Alfalfa,OK,6838275,8563470,8696493,4953352,7820831,7578126,8918897,1024758,832111,929740,686014,790539,627076,1085983
40005,40005,Atoka,OK,1307596,1622357,1630981,1514575,1145089,635750,962427,197362,158188,175073,210220,115938,52929,117833
40007,40007,Beaver,OK,3762656,3661867,3614181,2549930,3871188,3312923,2907477,563994,355894,386485,353193,391324,274176,322575
40009,40009,Beckham,OK,3364176,4594130,3202107,2561069,3024209,2194075,3095003,506450,447237,343404,355436,306030,182175,364881
40011,40011,Blaine,OK,6742998,7101361,6901969,5738511,6199238,5102446,6270033,1011277,690347,738299,794964,626742,422358,801532
40013,40013,Bryan,OK,2557105,4459938,4562760,3323873,3241719,2476817,2042563,388082,435200,490263,462051,328448,206375,280053
40015,40015,Caddo,OK,10703507,12976928,10843132,7597144,7301392,6385188,7433888,1607310,1262172,1160850,1053168,738425,529083,866546
40017,40017,Canadian,OK,7180973,9713032,9158790,7221704,7724763,6604447,6839006,1090139,949553,987041,1005896,783628,552106,842710
40019,40019,Carter,OK,1477683,2039234,2260279,2193466,1604231,1177119,1641833,229447,201006,245288,306235,163141,99117,175474
40021,40021,Cherokee,OK,1427076,2036913,2121082,2392463,1807639,3972809,1467142,219315,200210,229973,333672,183693,330457,200366
40023,40023,Choctaw,OK,2362242,2874192,2329317,1480352,1487267,1477714,1691414,355904,279976,249880,205581,150558,122649,201453
40025,40025,Cimarron,OK,4397848,5661625,7112500,3739480,3856545,6673076,6488106,658857,550062,760262,517825,389811,552120,791798
40027,40027,Cleveland,OK,1382783,1988739,1662032,1184748,1340915,1010475,1189829,257841,214310,206825,185356,145080,101591,186315
40029,40029,Coal,OK,1009658,1124073,960377,795746,631697,428356,867753,151893,109436,102954,110382,63923,35572,103743
40031,40031,Comanche,OK,2937339,4428176,3551563,3088125,3088841,2377400,2823623,465975,440383,391316,435036,315337,202306,333751
