STCOFIPS,fips-int,CountyName,State,totalfertN-kg-1987,totalfertN-kg-1992,totalfertN-kg-1997,totalfertN-kg-2002,totalfertN-kg-2007,totalfertN-kg-2012,totalfertN-kg-2017,totalfertP-kg-1987,totalfertP-kg-1992,totalfertP-kg-1997,totalfertP-kg-2002,totalfertP-kg-2007,totalfertP-kg-2012,totalfertP-kg-2017
01001,1001,Autauga,AL,1604074,1621594,1321139,840037,933498,601871,1158774,322107,275334,234775,177378,199457,140451,199301
01003,1003,Baldwin,AL,6591949,6508622,4792708,5128082,5567374,4046145,6052763,1323999,1102601,850655,1077354,1190640,923906,961765
01005,1005,Barbour,AL,2427026,3003326,1599304,4178966,1429801,598046,1120965,487571,506711,282044,873098,306000,135251,179001
01007,1007,Bibb,AL,313829,457174,230044,180936,163336,149689,470850,62973,77892,41521,38518,34832,35325,79988
01009,1009,Blount,AL,1852866,1802935,1337706,1444581,1508876,656884,1736976,372063,306230,238202,303944,322633,152886,297189
01011,1011,Bullock,AL,773100,713128,615695,557059,723250,415744,686574,155301,120500,108517,116585,154815,93149,118745
01013,1013,Butler,AL,1090265,998520,634668,521565,586885,265238,591081,218960,169197,112542,109536,125550,60624,99003
01015,1015,Calhoun,AL,900664,865598,977863,1374021,1136600,469673,1064154,179775,157409,183975,293384,242160,122015,211223
01017,1017,Chambers,AL,466743,643497,533385,569833,756610,464299,787618,93516,110929,96270,120458,161759,106732,137309
01019,1019,Cherokee,AL,2388760,2627912,1837263,1472500,2197725,1865568,2856620,479911,443217,323487,308205,470435,417093,725913
01021,1021,Chilton,AL,1269296,1622905,1298658,1414388,1070950,334300,692918,254854,275222,230314,296878,229005,79001,123482
01023,1023,Choctaw,AL,444661,352341,328855,186752,219470,89322,194267,89272,60072,58478,39421,46926,20801,26006
01025,1025,Clarke,AL,445067,384562,302292,255204,340704,148627,422557,89289,66153,54551,54123,72812,34953,57078
01027,1027,Clay,AL,549432,419995,374044,612422,438147,186673,532142,110338,71359,66344,128261,93744,42543,73452
01029,1029,Cleburne,AL,383472,243094,253346,348589,394887,175900,393339,76991,41583,45197,73224,84472,40322,60853
01031,1031,Coffee,AL,2509004,3157935,2773837,2303838,2500259,1664044,2139710,503898,534150,489432,482692,535019,375627,413984
01033,1033,Colbert,AL,2533692,2155166,1902786,1834309,2121505,2872686,3536179,508735,366717,338127,385419,453830,644872,730201
01035,1035,Conecuh,AL,1146660,1241504,793427,992324,915600,405865,1104697,230350,209511,139788,207477,195994,91109,166152
01037,1037,Coosa,AL,187152,150416,155788,115103,137959,44651,152204,37553,25850,27932,24363,29483,10712,21984
01039,1039,Covington,AL,2406163,2975751,2457403,2986663,2532767,1505544,2268091,483296,502775,433107,624605,542110,338045,374816
01041,1041,Crenshaw,AL,1275942,1499827,1046378,913640,677282,443535,733831,256328,252981,184144,191094,144951,99689,109367
01043,1043,Cullman,AL,1895734,2395432,2202776,2768771,2947057,1191912,2242249,380412,408651,392662,581734,630362,275024,460271
01045,1045,Dale,AL,2028101,2288309,1483543,1753651,1485030,882325,1743757,407148,388924,264162,368318,317581,202120,327337
01047,1047,Dallas,AL,2232313,2022790,1562872,1331704,1480983,1171072,2252133,448237,343463,277215,279681,316827,264369,418032
01049,1049,DeKalb,AL,3367568,2852567,2928973,2782934,3443084,1497966,3641029,676311,484141,518316,583869,736697,341452,655201
01051,1051,Elmore,AL,1918182,1684430,1881866,1318834,1607079,698049,1391749,385097,287445,335042,278720,343426,165736,226988
01053,1053,Escambia,AL,2195132,1730066,2020548,1347010,2409917,1358435,2446680,440880,293274,356629,282560,515795,305454,390197
01055,1055,Etowah,AL,1029168,1050564,1111919,1105816,1059041,576230,1248283,205784,186915,206023,236993,225682,143723,244070
01057,1057,Fayette,AL,532536,553039,621809,424538,733061,394057,997605,106905,94074,110095,89225,156869,88990,170707
01059,1059,Franklin,AL,829207,1044237,923580,867728,887146,625844,971564,166443,177526,164022,182312,189752,142257,173588
01061,1061,Geneva,AL,3834010,3805926,3503696,3296998,2642142,1968910,2818066,770298,641693,615746,689020,565591,440201,557216
01063,1063,Greene,AL,509509,509321,482379,465338,377701,110349,228278,102336,86159,85045,97387,80833,25125,35978
01065,1065,Hale,AL,1030546,845981,603472,630867,860463,233431,778246,207009,143165,106723,132265,184160,53108,110256
01067,1067,Henry,AL,3161882,4059099,2126422,2528955,1979188,1636732,2207507,635301,683600,373606,528309,423707,365229,454582
01069,1069,Houston,AL,4287410,4975824,4409202,5431070,4571732,3351048,4455882,860819,844767,781345,1138502,977969,759911,853139
01071,1071,Jackson,AL,2603117,2835954,2792752,2584359,3471075,1722058,3488089,522782,480220,493072,541464,742904,387927,678591
01073,1073,Jefferson,AL,1293237,1408710,1561173,1263717,1701659,951292,1417398,250435,331715,373749,320017,354713,350303,338848
01075,1075,Lamar,AL,568679,572070,489087,407528,346261,157540,309111,114184,97096,86647,85552,74061,36153,56626
01077,1077,Lauderdale,AL,3262894,3219935,2851895,2359659,3746082,2917978,3919976,654987,548796,507860,497034,801313,660806,801776
01079,1079,Lawrence,AL,3449158,2926542,2686865,3671172,3697668,3126577,4816582,692911,494364,473247,767502,791557,698164,947159
01081,1081,Lee,AL,720763,937217,577242,1425070,1851934,932916,2385494,144075,166330,112277,304602,395119,230990,379804
01083,1083,Limestone,AL,4219621,4297326,4439794,3892954,6157327,3917643,5644679,847529,727499,783614,815857,1317784,882730,1115216
01085,1085,Lowndes,AL,1237041,1086335,944910,1232278,958376,490863,1147156,248522,183349,166281,257561,205161,109845,160125
01087,1087,Macon,AL,1067129,1087291,747215,872972,1104113,539698,1362854,214275,184476,132534,183065,236288,121768,261953
01089,1089,Madison,AL,4693671,5175110,4172911,4188272,5067744,3720885,5478794,940615,900558,765174,894943,1081048,892286,1018504
01091,1091,Marengo,AL,1290201,1143479,939029,485250,738723,353291,773762,259137,193583,165873,101975,158067,80087,120565
01093,1093,Marion,AL,1067665,1229579,823053,474911,782842,302717,520363,214354,208721,146391,100264,167427,70141,93799
01095,1095,Marshall,AL,1743940,1814401,1471587,1502821,1939628,824622,1728497,349832,311688,265648,318143,414470,196555,326214
01097,1097,Mobile,AL,3150033,4372103,3100085,3829072,4872679,2215352,4397047,628473,781241,593022,827327,1038392,565536,733973
01099,1099,Monroe,AL,1590381,1939447,2186199,1822021,1863742,1258803,2035128,319466,327514,384534,380991,398960,281517,360610
01101,1101,Montgomery,AL,1593335,1812227,1445677,1658446,1482082,707672,1457623,317845,329299,280309,361313,314651,196367,292353
01103,1103,Morgan,AL,1671654,2073120,1632606,1413845,2068764,1125892,1933024,334973,358978,297660,301776,441757,268575,407319
01105,1105,Perry,AL,1090430,1046814,777390,717404,643495,494773,949867,219052,176669,136863,150042,137741,110653,147427
01107,1107,Pickens,AL,775809,732803,678962,531613,514312,388635,888479,155783,124394,120185,111609,110021,87887,149879
01109,1109,Pike,AL,2380709,2558117,1894358,1419812,1473901,656605,1349803,478228,432100,333996,297434,315391,149239,245913
01111,1111,Randolph,AL,652955,572614,753183,664619,863639,475314,959321,131094,97588,133395,139538,184786,107741,154174
01113,1113,Russell,AL,981365,732750,558153,551412,756435,542394,1169086,196841,127038,101978,117341,161565,127453,202684
01115,1115,St. Clair,AL,766819,867402,519931,746667,791582,376579,746914,153729,150069,96335,159211,168774,95109,123868
01117,1117,Shelby,AL,905186,772141,850270,812435,897497,501710,912053,181131,139620,162477,178878,190144,144155,190830
01119,1119,Sumter,AL,807996,711772,537435,470206,482158,274613,532826,162282,120513,94987,98529,103177,61962,89934
01121,1121,Talladega,AL,1229734,1136553,1286916,1160206,1783749,945894,1066393,246489,197508,232534,246208,381229,220547,206318
01123,1123,Tallapoosa,AL,377960,491747,484849,342466,369282,190752,486478,75685,85451,88007,73168,78776,46619,84855
01125,1125,Tuscaloosa,AL,1141899,1110775,1313115,1021361,1169196,614372,751208,228204,200314,245276,222018,248604,164114,151721
01127,1127,Walker,AL,358283,341385,407970,371441,455011,213376,528485,71445,62892,77477,80890,96874,55146,97543
01129,1129,Washington,AL,674845,472938,844264,488789,645057,338584,1103744,135529,80358,148868,102520,138041,76459,138325
01131,1131,Wilcox,AL,891702,618004,655410,432805,601129,191426,556195,179118,104594,115521,90681,128664,43300,85263
01133,1133,Winston,AL,602089,432068,420885,561398,597584,222826,455377,120857,74047,75362,118077,127800,51753,70673
04001,4001,Apache,AZ,523779,252810,94518,55787,,91413,368761,64988,37643,14256,10102,,13665,30856
04003,4003,Cochise,AZ,2707365,2341896,3660042,2814475,3273681,3289889,8012360,335134,344719,548856,471931,563241,486233,1086205
04005,4005,Coconino,AZ,122295,49174,40073,30353,66572,19685,79982,15526,8126,6147,6509,12241,3227,8891
04007,4007,Gila,AZ,52283,63645,18969,11157,20176,10490,24578,6667,9773,2914,2576,3844,1691,3515
04009,4009,Graham,AZ,1621794,1554347,2023903,3027635,3154604,2975462,3005488,200497,228219,303436,505939,541917,439465,404841
04011,4011,Greenlee,AZ,171585,128898,211682,147851,76593,190560,214368,21237,18977,31743,24768,13196,28158,38364
04013,4013,Maricopa,AZ,22798460,20414657,23130192,15016591,11403400,12704042,15181523,2845503,3057444,3478424,2639153,2035889,1907450,2299835
04015,4015,Mohave,AZ,431819,788052,515561,769776,,817905,1237389,53728,116663,77488,130930,,121372,195158
04017,4017,Navajo,AZ,293197,294527,179353,80081,273574,55024,292537,36612,43999,27015,14763,47732,8409,28497
04019,4019,Pima,AZ,2194838,1641837,1634687,1950238,2046689,1635133,3372669,277753,254478,247215,349219,364790,246701,462187
04021,4021,Pinal,AZ,15602745,13304317,16021932,11015344,10417864,11550801,16521634,1928546,1952967,2402089,1843234,1792470,1707473,2561580
04023,4023,Santa Cruz,AZ,46128,84534,48386,22811,30882,24387,235775,5882,12852,7324,4567,5765,3784,38362
04025,4025,Yavapai,AZ,187223,242883,190886,210568,247763,128428,495619,23694,37036,28874,38245,44460,19699,79157
04027,4027,Yuma,AZ,23717169,23978068,27374430,32086950,34196296,25739789,28785577,2930929,3518247,4103853,5360791,5873883,3801650,4595213
05001,5001,Arkansas,AR,12921589,15807871,15898668,16341754,18256890,19252627,16920801,1373969,1649584,2372867,2266253,2094014,2174682,2490885
05003,5003,Ashley,AR,3232925,4527950,4252950,4640080,4808435,4389106,3898672,347732,475051,638448,645862,551200,495405,565450
05005,5005,Baxter,AR,511477,494306,640117,769033,602365,380598,475037,61660,57071,104822,113185,68062,41796,67233
05007,5007,Benton,AR,2456193,2498093,2039231,3032090,2749867,2395637,2495136,287496,283404,349513,458903,308183,260533,378578
05009,5009,Boone,AR,1356011,1613556,1651472,1734305,1384092,856966,1881057,150285,172932,254047,245932,157895,95762,237422
05011,5011,Bradley,AR,204664,340636,227431,325257,252804,199918,278330,23891,36933,36052,46531,28806,22366,41684
05013,5013,Calhoun,AR,130569,187152,123250,86634,78732,34382,106295,14723,20066,19181,12529,8955,3802,15067
05015,5015,Carroll,AR,1541353,1395913,964674,1385497,976783,801339,1290005,167067,148278,149023,195797,111480,89832,169648
05017,5017,Chicot,AR,4692032,6094809,4855693,5399288,6688044,6906551,6745798,500609,637010,726258,749562,767015,780045,883938
05019,5019,Clark,AR,843593,791525,681992,865873,456080,289211,482857,93741,85382,106271,123038,51889,32174,73307
05021,5021,Clay,AR,6724225,9568701,9991962,11281985,13476504,13179605,11327971,716688,999372,1492453,1565118,1545654,1488621,1530198
05023,5023,Cleburne,AR,589701,765320,559421,956251,718305,582058,671028,66460,82727,88358,136104,81849,65102,85305
05025,5025,Cleveland,AR,178480,478008,206851,247121,140133,47163,125002,20195,50665,32166,35170,15936,5171,14837
05027,5027,Columbia,AR,601003,667240,424740,543375,444696,217694,292201,69316,73297,68710,78788,50521,24028,43111
05029,5029,Conway,AR,1286373,1657302,1438866,1277352,1496622,1627597,1362899,140496,175489,218717,179860,171253,183360,216902
05031,5031,Craighead,AR,8363151,11968566,12052430,12291168,13604039,13323327,12555010,905475,1261361,1819470,1719905,1557855,1501599,1778643
05033,5033,Crawford,AR,927652,1022100,871766,1262063,993057,670630,942897,108928,114717,143720,185189,112247,73731,165534
05035,5035,Crittenden,AR,4504587,6656933,6106399,7444513,8321456,6684514,7026767,491079,702851,923345,1040628,953290,753662,1109629
05037,5037,Cross,AR,7032991,8796726,9311325,10996059,10511541,9398351,9777653,749694,919189,1391508,1525929,1205484,1061377,1347312
05039,5039,Dallas,AR,96523,206245,132009,67783,65782,33956,52941,11914,22579,21186,10323,7422,3698,8107
05041,5041,Desha,AR,6893799,7406686,8143389,7506511,12512370,8018160,9647239,734138,773683,1216225,1041584,1435139,905613,1434963
05043,5043,Drew,AR,1488851,2257129,2219140,2373585,3309434,3454944,1987766,161082,237361,334075,331105,379315,389930,367633
05045,5045,Faulkner,AR,1580164,1657994,1936667,2183459,1868170,1192377,1068593,182794,185820,312956,321809,210934,130104,189061
05047,5047,Franklin,AR,718353,583177,565947,786997,814239,548475,906378,79063,62816,87753,111416,93054,61557,129819
05049,5049,Fulton,AR,1065869,1199672,1631516,1262839,956118,775140,1169843,114706,126171,245067,176308,109470,87324,164841
05051,5051,Garland,AR,170926,206811,336693,246959,467196,296327,277355,39703,37242,75874,52902,50753,30047,51634
05053,5053,Grant,AR,274646,329529,277609,251685,275558,109925,134349,31623,36214,44408,37043,31280,12017,17910
05055,5055,Greene,AR,4906183,6886326,6297778,8346356,9899288,9667087,9113083,527813,723036,947445,1162760,1134574,1090845,1372088
05057,5057,Hempstead,AR,760834,918153,786057,1140866,889370,513531,816070,85181,98800,121831,161245,101577,57507,102013
05059,5059,Hot Spring,AR,482368,525703,558375,279703,443466,195894,211323,57306,58954,89996,43532,50126,21228,33836
05061,5061,Howard,AR,200319,371823,576275,631767,621736,291156,539394,23827,40545,88570,89323,71078,32605,68468
05063,5063,Independence,AR,1700240,2011396,1975543,2749506,2906919,2023517,2353019,187321,214475,301871,386102,332681,227637,409839
05065,5065,Izard,AR,429222,827878,937276,802971,662504,552727,837200,47467,87732,142081,112868,75756,62161,103299
05067,5067,Jackson,AR,5945297,8326472,7827471,9935821,10486532,9387203,8301242,634267,870105,1169927,1378757,1202619,1060123,1110164
05069,5069,Jefferson,AR,6256229,8455497,6889501,8794188,11574456,9559859,8559735,688720,897952,1050666,1233983,1325671,1077726,1216781
05071,5071,Johnson,AR,465905,469775,567765,676445,617892,543653,582830,53012,51561,89194,96983,70365,60788,133758
05073,5073,Lafayette,AR,1351371,1406952,1074253,1547366,2183558,2079912,1956431,145035,147689,161573,215264,250365,234843,274798
05075,5075,Lawrence,AR,5748519,6611944,7368556,7668245,7461561,7883838,9147157,613129,691293,1101633,1064664,855622,890289,1435316
05077,5077,Lee,AR,5856142,7800113,7460584,8392168,11813572,9576838,9285812,623472,814234,1113964,1164019,1355017,1081743,1204821
05079,5079,Lincoln,AR,3442195,4904633,4477907,4891833,4876284,6498635,5255908,367423,512811,670025,679529,559123,733877,771439
05081,5081,Little River,AR,1083231,1206347,895107,1082586,1149012,885275,1387419,117499,127509,135958,151661,131574,99743,224774
05083,5083,Logan,AR,1013298,1070497,955271,1286631,1430682,994003,981518,111600,114441,146777,181305,163676,111798,153846
05085,5085,Lonoke,AR,8641700,12306992,12256909,8832586,11366582,10510824,10603998,925027,1288913,1838829,1233149,1302245,1185271,1478601
05087,5087,Madison,AR,1189191,1551738,1446769,1832525,1376031,941490,1561815,127989,163086,217865,255489,157595,106056,195819
05089,5089,Marion,AR,637469,650278,775675,940440,647992,441950,761946,69704,69327,118458,132355,74022,49570,93499
05091,5091,Miller,AR,1446434,1947489,1416382,2185736,2830293,1982560,1392105,163336,209652,221219,309794,323625,222710,267534
05093,5093,Mississippi,AR,7307337,13794443,14990473,13484406,16603468,11570829,14433588,789560,1446768,2246473,1876092,1903605,1306003,1957113
05095,5095,Monroe,AR,4519210,6809151,6661925,8473394,8585404,10629330,7417655,481300,710710,994524,1174901,984742,1200704,1162833
05097,5097,Montgomery,AR,176545,222746,331973,484909,264885,174322,264299,19883,24023,50777,68092,30247,19534,37791
05099,5099,Nevada,AR,364601,326289,316753,321004,303956,152489,273820,40518,35164,48893,45553,34723,17065,36806
05101,5101,Newton,AR,516932,721327,476040,723641,601337,345284,461896,55941,75915,72159,101086,68865,38877,64308
05103,5103,Ouachita,AR,197153,160409,127701,145546,157538,101457,135407,28166,21329,25410,24168,17532,10862,18607
05105,5105,Perry,AR,393690,470751,785003,487515,689898,464528,494890,43048,50003,118647,68751,78965,52277,93542
05107,5107,Phillips,AR,6609994,9529742,10846927,8612762,14220636,10666366,11141041,707667,997084,1622285,1196627,1630875,1204560,1535199
05109,5109,Pike,AR,256521,467352,448621,597741,604254,270906,439474,28926,49886,68759,84114,69128,30385,54113
05111,5111,Poinsett,AR,10240163,14167527,13000469,12684850,13955044,16999592,11423758,1090977,1479519,1942495,1760767,1600362,1919955,1532591
05113,5113,Polk,AR,323325,387488,562718,754769,841848,453807,689422,37362,42610,87562,107103,96205,50836,93996
05115,5115,Pope,AR,840112,1041626,821630,1135075,1287785,818349,889343,99786,116841,135634,166787,146224,90572,164027
05117,5117,Prairie,AR,8749157,10160202,8544254,11714283,9666829,10344417,8629625,929143,1059536,1274744,1623795,1108796,1168505,1192801
05119,5119,Pulaski,AR,1922332,2308357,2096250,2248769,3356429,2333429,1881910,365767,352888,474299,423340,368611,243308,333505
05121,5121,Randolph,AR,2985075,3831245,4524130,4740659,5862263,3669461,4043454,319657,401435,677663,659129,672149,414159,670757
05123,5123,St. Francis,AR,4073196,7193845,6063440,7427427,8707510,9262146,7275119,438862,753984,910333,1033289,998265,1045678,1087734
05125,5125,Saline,AR,218794,555395,469375,488062,547068,414303,396663,40077,71276,93254,85162,59703,42665,63894
05127,5127,Scott,AR,226108,238602,389104,423708,308547,155444,190120,25568,25968,59702,59831,35227,17370,25709
05129,5129,Searcy,AR,804452,1101298,625058,784637,675840,467294,628641,86613,115544,94376,109536,77406,52654,82524
05131,5131,Sebastian,AR,598472,731758,666377,693426,873830,668140,563612,98563,101518,139237,124689,95884,70137,104750
05133,5133,Sevier,AR,527605,972573,729817,541496,539458,334488,689948,58578,103270,111717,77079,61574,37401,86864
05135,5135,Sharp,AR,484751,978305,958995,976983,762870,502907,697814,54146,103911,146141,137667,87178,56436,91673
05137,5137,Stone,AR,523386,538512,603323,882232,650136,479414,607190,57105,57308,91832,123580,74371,53904,73772
05139,5139,Union,AR,217485,387587,182560,281788,281126,245806,329332,34175,47800,37543,45837,31357,26768,43653
05141,5141,Van Buren,AR,525588,885344,976765,968155,757484,567684,663985,58237,94017,148470,136121,86584,63774,89784
05143,5143,Washington,AR,1834077,2209863,2383724,2782744,2619582,2014551,2167554,227507,256950,404717,423994,293810,218843,304500
05145,5145,White,AR,3656150,5727416,5559392,6579175,5053242,3100927,2858662,400365,606344,844445,923272,577841,347976,501846
05147,5147,Woodruff,AR,5071428,7238902,7096157,7872464,8640742,9206074,7077758,539394,755220,1058918,1091493,991108,1039927,958625
05149,5149,Yell,AR,577479,742048,899335,1037000,917935,512712,663668,64371,79601,137791,146295,104916,57462,115393
06001,6001,Alameda,CA,2007238,1669729,2238559,2386950,2997242,1202883,2586518,301110,254063,312556,392553,454085,92433,337694
06003,6003,Alpine,CA,,,,86951,,,33740,,,,15013,,,5692
06005,6005,Amador,CA,232161,204750,175520,306217,248483,164311,340549,30091,26047,27180,52688,40406,16356,48628
06007,6007,Butte,CA,10001866,8122999,11584558,13959478,13378436,9232244,14136749,1286614,1021126,1813995,2409207,2194236,933172,2160257
06009,6009,Calaveras,CA,32752,49366,80136,97749,142652,84800,310420,4482,6549,12219,16682,22997,8275,40748
06011,6011,Colusa,CA,11621725,10014556,12790782,17888399,15233809,12718913,15982120,1492157,1255592,2005481,3088955,2501553,1288504,2200526
06013,6013,Contra Costa,CA,1823015,1760104,2080244,4480677,2937374,916175,2522053,256625,245359,303375,760736,456223,70776,361751
06015,6015,Del Norte,CA,342473,341232,288374,306470,312372,151321,245278,44150,43038,44988,52809,51069,15155,37003
06017,6017,El Dorado,CA,160714,191325,174224,390262,373400,160721,425498,22029,25758,25634,66417,59226,14632,64639
06019,6019,Fresno,CA,58757572,53346659,69638566,89827566,75145958,59286560,60309653,7552797,6698280,10909510,15506144,12328576,5996732,9094276
06021,6021,Glenn,CA,10115540,7814114,10401863,12297931,14588186,10250531,16182221,1298875,979824,1630830,2123544,2395472,1038376,2246467
06023,6023,Humboldt,CA,793549,483937,366571,928860,658367,294144,545901,103094,61931,56372,159829,106963,28885,82436
06025,6025,Imperial,CA,27337764,22257493,27989175,37312279,38770090,43540154,41523396,3510681,2791464,4387569,6442572,6365400,4410065,5905839
06027,6027,Inyo,CA,104554,180072,72253,283953,388682,155156,65017,13504,22652,11265,49001,63764,15669,16779
06029,6029,Kern,CA,46941439,40625835,56506465,64756274,65933536,49231478,54889285,6033035,5100564,8853268,11178327,10818193,4979987,8232244
06031,6031,Kings,CA,21380620,15760991,19118100,19376272,23793281,17586475,24292036,2746081,1977257,2996419,3345143,3905524,1780365,3424713
06033,6033,Lake,CA,832082,736124,732846,1336710,1194285,422019,891968,107352,92872,114394,230530,195518,42289,137593
06035,6035,Lassen,CA,675127,643848,737530,1127197,1062601,1147820,1497073,86841,80890,115461,194557,174307,116153,225950
06037,6037,Los Angeles,CA,10074428,10322519,12550354,14685994,19676552,5274061,11639200,1563274,1544595,1757471,2428579,3021328,372215,1458749
06039,6039,Madera,CA,12571544,10949313,14184758,20836208,18148231,16103350,18340331,1614866,1373760,2223032,3597395,2978775,1630266,2722861
06041,6041,Marin,CA,355308,248413,235043,369015,477163,150307,470588,50917,36375,32314,61341,73748,11482,64137
06043,6043,Mariposa,CA,195359,72745,12008,23821,21169,21369,94256,25178,9233,1779,4058,3360,2078,11243
06045,6045,Mendocino,CA,1220686,918738,1033889,2128879,1877808,687720,1590785,157439,115926,161461,367274,307699,69152,232682
06047,6047,Merced,CA,22859913,18889074,24137148,37586206,39206009,29597716,39744337,2937174,2370647,3782365,6489092,6435284,2996100,5975210
06049,6049,Modoc,CA,2155340,1647799,2915508,2530028,2496859,2355809,4133274,276755,206619,457116,436875,409999,238653,585444
06051,6051,Mono,CA,179808,165297,81182,412192,146507,112242,311409,23131,20775,12676,71148,23996,11320,42469
06053,6053,Monterey,CA,29129628,41889453,38888031,68307152,51150229,46957613,45645633,3745001,5256849,6093024,11792831,8394880,4753333,7002828
06055,6055,Napa,CA,1846711,1674475,2436478,5847465,4681631,2355656,6091461,238834,211728,380426,1008851,766988,237160,930079
06057,6057,Nevada,CA,66339,77678,85123,105308,179648,86369,224828,9494,10856,12315,17616,28346,7852,34543
06059,6059,Orange,CA,6162175,4974974,4839935,11255066,9428490,3023234,3264051,843782,672565,717844,1922594,1507590,274826,440827
06061,6061,Placer,CA,828429,1113666,1449173,1833875,1316550,743411,1274747,108591,142446,224260,314649,211290,71027,171609
06063,6063,Plumas,CA,188712,127326,233467,63245,101383,50551,159862,24360,16099,36492,10862,16535,5040,21475
06065,6065,Riverside,CA,16474533,13948077,18348401,23232400,19565845,12096403,16441279,2130301,1770156,2856361,3998683,3179595,1196490,2368826
06067,6067,Sacramento,CA,6850215,5980336,7270967,10584035,7552243,3670885,9225693,908045,782716,1110811,1810502,1204128,342215,1450399
06069,6069,San Benito,CA,2742209,2870554,2685216,4842868,3705797,1969055,3234945,352380,360230,420644,836027,608086,199098,437293
06071,6071,San Bernardino,CA,2198727,1713967,1792152,4653486,3350366,849164,2773244,297821,234906,262981,792975,526742,66860,411138
06073,6073,San Diego,CA,11750223,10842519,9669678,20018720,16663361,8074948,14051237,1565964,1422446,1460473,3425438,2673509,765186,1910569
06075,6075,San Francisco,CA,94739,95162,113792,113061,160748,,149264,15335,14875,15369,18260,23927,,16834
06077,6077,San Joaquin,CA,25920663,21463633,25329796,41164708,28974730,24017513,34941853,3337364,2701094,3962328,7102714,4745677,2422984,5007504
06079,6079,San Luis Obispo,CA,6370375,3840146,6576735,11070621,10098424,5951759,10880993,820456,484195,1028697,1910293,1655477,600638,1738144
06081,6081,San Mateo,CA,1962273,1808369,2278572,3296273,2535271,593475,1616581,272974,247658,338478,559536,397806,44583,216969
06083,6083,Santa Barbara,CA,10877642,11383206,15372136,20022273,19964771,15765325,18705606,1402282,1432918,2405198,3454766,3273148,1592773,3034000
06085,6085,Santa Clara,CA,4177750,5403206,3881662,6501765,7657850,4662235,9794961,581846,722819,567013,1100762,1213760,435265,1504373
06087,6087,Santa Cruz,CA,4192834,4931864,4938692,6198600,6973305,7422384,7948771,543732,623678,769535,1067796,1140134,747851,1272657
06089,6089,Shasta,CA,938972,896043,440763,1143521,967375,755989,1489371,122022,114026,67641,196651,157213,75300,235377
06091,6091,Sierra,CA,21180,13796,4724,26701,31528,,61039,2737,1747,726,4603,5164,,8814
06093,6093,Siskiyou,CA,3044560,2071619,2553573,4478976,5205883,4221889,4787385,391148,259987,400160,773324,854676,427561,725717
06095,6095,Solano,CA,5501099,4261669,4951780,7448128,6924136,5428937,7218744,712863,542146,769529,1282177,1129334,543811,1144787
06097,6097,Sonoma,CA,2614150,3488757,5230789,9227939,6400414,3379766,6898924,342529,444955,813153,1589619,1043456,336133,1110295
06099,6099,Stanislaus,CA,17777011,16097511,18795560,30172259,27431918,19524454,37520583,2288459,2025486,2940352,5206141,4496261,1971234,5216824
06101,6101,Sutter,CA,11759980,10973518,13393576,15139655,11011865,10683021,13279473,1510690,1376693,2099154,2613819,1807126,1081363,1804191
06103,6103,Tehama,CA,2984839,1819086,2612928,3449950,3923527,2649780,4678676,383603,228485,409314,595537,643864,268099,625588
06105,6105,Trinity,CA,51028,8094,26953,26937,26401,16208,96149,6624,1086,4165,4620,4273,1594,17435
06107,6107,Tulare,CA,34080573,27613734,31252547,47524493,33537679,25277948,43098951,4379192,3465946,4896582,8204535,5502787,2557007,6195336
06109,6109,Tuolumne,CA,191859,27292,36212,51185,80062,44368,303996,25033,3880,5274,8617,12710,4176,45778
06111,6111,Ventura,CA,15597183,17460665,14473977,27033028,24528780,17619088,21683624,2016331,2203246,2256654,4660883,4013488,1773117,3327267
06113,6113,Yolo,CA,12177432,11476207,16073526,17803830,13374257,9344254,14469430,1565479,1441009,2518184,3073117,2193541,944424,2069819
06115,6115,Yuba,CA,3550935,3033333,3718137,4198189,3911789,2775170,3903799,456676,381114,582307,724581,641537,280477,615030
08001,8001,Adams,CO,4673387,3470759,4369246,4987005,4115164,2927362,6168420,501073,571436,578440,863639,395824,286004,776452
08003,8003,Alamosa,CO,3238405,3250625,3873373,4273077,4060683,4665586,4533737,335391,527489,497309,720120,391365,457909,672102
08005,8005,Arapahoe,CO,607959,841151,604669,1174714,718223,618202,944354,94361,152214,108508,237914,67947,58605,114943
08007,8007,Archuleta,CO,95899,56846,70763,47578,80196,77726,123469,10016,9272,9225,8246,7721,7617,18295
08009,8009,Baca,CO,3149974,3018475,4036615,3346715,6266358,4949910,6024418,325906,489670,517948,563726,603965,485833,708400
08011,8011,Bent,CO,611368,598462,1199036,472153,729515,449108,951413,63346,97120,153916,79622,70310,44076,134559
08013,8013,Boulder,CO,1366982,1349544,1360652,1541926,1160042,720124,1192710,156900,226712,190310,278562,111233,69789,200068
08015,8015,Chaffee,CO,128479,138958,278404,134738,125321,116652,215363,13640,22702,36059,23131,12065,11429,39490
08017,8017,Cheyenne,CO,1941974,1592007,2482173,2640759,4146371,3155731,6363952,200907,258261,318485,444794,399636,309735,747334
08019,8019,Clear Creek,CO,5871,8660,4572,6237,,1558,6686,852,1519,815,1329,,142,1070
08021,8021,Conejos,CO,1121559,1200326,1369827,865847,1143011,781645,1299215,116181,194783,175886,145994,110161,76712,213628
08023,8023,Costilla,CO,1145334,1210983,1682741,1438430,1352197,1457030,1071252,118527,196464,215944,242323,130326,143005,145620
